user_id,prediction
218492,1.0
218535,0.0
218557,1.0
218559,0.0
218591,0.0
218602,0.0
218636,1.0
218643,0.0
218653,1.0
218671,0.0
218674,0.0
218677,1.0
218705,1.0
218709,0.0
218736,0.0
218755,0.0
218775,1.0
218803,0.0
218814,1.0
218826,1.0
218834,0.0
218867,1.0
218869,0.0
218870,0.0
218976,1.0
218979,0.0
219021,0.0
219022,0.0
219035,0.0
219083,1.0
219111,0.0
219127,1.0
219147,0.0
219148,0.0
219150,0.0
219045,1.0
219181,1.0
219207,0.0
219216,0.0
219220,0.0
219224,0.0
219267,1.0
219268,0.0
219118,0.0
219274,0.0
219276,0.0
219305,0.0
219314,1.0
219323,0.0
219345,1.0
219357,0.0
219360,1.0
219375,0.0
219397,0.0
219403,1.0
219416,0.0
219419,1.0
219463,0.0
219502,0.0
219509,0.0
219521,0.0
219528,1.0
219533,1.0
219558,0.0
219584,1.0
219587,0.0
219590,0.0
219612,0.0
219636,0.0
219610,1.0
219675,0.0
219679,1.0
219724,0.0
219780,0.0
219794,0.0
219814,1.0
219819,0.0
219823,0.0
219859,1.0
219903,0.0
219910,0.0
219911,0.0
219920,0.0
219922,0.0
219957,0.0
219989,1.0
219706,1.0
220021,1.0
220026,0.0
220054,1.0
220072,0.0
220083,0.0
220100,1.0
220123,0.0
220122,0.0
220148,1.0
220161,1.0
220222,0.0
220239,1.0
220277,0.0
220215,1.0
220287,0.0
220301,0.0
220311,0.0
220312,1.0
220315,0.0
220325,1.0
220329,0.0
220331,1.0
220336,1.0
220339,1.0
220369,1.0
220382,1.0
220419,1.0
220426,0.0
220437,0.0
220448,0.0
220456,0.0
220207,1.0
220469,0.0
220479,1.0
220504,1.0
220540,0.0
220541,1.0
220559,1.0
220577,0.0
220579,1.0
220588,1.0
220591,1.0
220610,0.0
220639,1.0
220680,1.0
220692,1.0
220712,0.0
220714,1.0
220753,0.0
220772,1.0
220779,0.0
220791,1.0
220792,0.0
220481,0.0
220863,0.0
220759,0.0
220908,0.0
220912,1.0
220920,1.0
220934,0.0
220936,0.0
220944,1.0
220963,0.0
220990,0.0
220907,0.0
221014,1.0
221057,0.0
221061,0.0
221038,0.0
221109,1.0
221115,0.0
221132,0.0
221113,0.0
221137,0.0
221138,0.0
221146,0.0
221204,1.0
221242,1.0
221246,0.0
221252,0.0
221262,1.0
221277,1.0
221287,0.0
221288,0.0
221295,0.0
221299,0.0
221307,1.0
221317,0.0
221332,1.0
221338,1.0
221342,0.0
221354,0.0
221371,1.0
221380,0.0
221401,0.0
221489,1.0
221501,1.0
221502,0.0
221514,1.0
221309,0.0
221550,1.0
221553,1.0
221561,1.0
221571,0.0
221574,0.0
221577,0.0
221584,1.0
221586,1.0
221670,0.0
221674,1.0
221676,0.0
221695,0.0
221496,1.0
221711,1.0
221714,0.0
221727,0.0
221822,0.0
221926,1.0
221934,0.0
221983,1.0
222027,1.0
222028,1.0
222072,1.0
222080,0.0
222081,1.0
222108,1.0
222142,1.0
222171,1.0
222182,1.0
222189,1.0
222202,1.0
222208,0.0
222236,1.0
222248,1.0
222271,1.0
222277,1.0
222310,0.0
222311,0.0
222326,1.0
222339,0.0
222340,1.0
222353,0.0
222374,1.0
222377,1.0
222384,1.0
222291,0.0
222397,0.0
222401,1.0
222414,1.0
222428,0.0
222435,1.0
222437,0.0
222388,1.0
222457,0.0
222464,0.0
222472,1.0
222478,0.0
222482,0.0
